bus_id,route,bus_type,depot,date,capacity,passengers,occupancy_rate,distance_km,fare_per_passenger,revenue,fuel_consumed_liters,month,day_of_week,trip_time,hour,peak_hour,weekend,holiday,event_flag,weather_condition,bus_stop,next_bus_arrival_min,bus_frequency_min,current_onboard,waiting_crowd,boarding_count,alighting_count,vision_waiting_count,vision_boarding_count,passengers_after_stop,occupancy_after_stop,future_passengers,future_occupancy_rate,crowd_level,future_crowd_level,waiting_pressure_pct,available_seats_before_boarding
AP0029,Vijayawada-Visakhapatnam,Ordinary,Kurnool,2024-06-24,63,27,43.59,254.01,342.69,9252.57,47.18,June,Monday,10:30,10,0,0,0,0,Rainy,Railway Station Stop,24,10,27,8,7,2,8,7,32,50.79,30,47.62,LOW,LOW,12.7,36
AP0030,Chittoor-Bangalore,Super Luxury,Visakhapatnam,2024-09-20,49,36,74.41,342.29,402.21,14479.72,71.71,September,Friday,17:20,17,1,0,0,0,Clear,Central Bus Station,8,5,36,27,9,2,27,9,43,87.76,46,93.88,HIGH,HIGH,55.1,13
AP0031,Anantapur-Bangalore,Super Luxury,Vijayawada,2024-11-12,53,17,33.13,209.36,795.05,13515.88,46.81,November,Tuesday,18:30,18,1,0,0,0,Clear,Main Road Stop,4,10,17,20,8,1,20,8,24,45.28,28,52.83,LOW,LOW,37.74,36
AP0032,Hyderabad-Tirupati,Volvo AC,Visakhapatnam,2024-08-20,53,41,77.86,544.41,797.68,32705.02,107.35,August,Tuesday,22:10,22,0,0,0,0,Clear,Main Road Stop,11,30,41,9,5,2,9,5,44,83.02,52,98.11,HIGH,HIGH,16.98,12
AP0033,Vijayawada-Tirupati,Sleeper,Hyderabad,2024-06-09,36,32,90.93,328.25,1081.4,34604.78,79.68,June,Sunday,12:05,12,0,1,0,0,Clear,Railway Station Stop,26,20,32,9,6,4,9,6,34,94.44,33,91.67,HIGH,HIGH,25.0,4
AP0034,Hyderabad-Tirupati,Express,Hyderabad,2024-10-14,63,44,69.97,527.9,509.63,22423.85,114.19,October,Monday,13:40,13,0,0,0,1,Clear,Market Stop,17,5,44,14,7,3,14,7,48,76.19,47,74.6,MODERATE,MODERATE,22.22,19
AP0035,Eluru-Hyderabad,Semi-Sleeper,Nellore,2024-10-25,59,34,57.86,438.28,254.66,8658.33,105.85,October,Friday,14:55,14,0,0,0,0,Cloudy,City Center Stop,24,15,34,9,9,2,9,9,41,69.49,44,74.58,MODERATE,MODERATE,15.25,25
AP0036,Guntur-Hyderabad,Sleeper,Vijayawada,2024-11-08,36,29,82.71,276.7,792.71,22988.48,59.43,November,Friday,11:50,11,0,0,0,0,Rainy,Main Road Stop,16,5,29,6,6,9,6,6,26,72.22,22,61.11,MODERATE,MODERATE,16.67,7
AP0037,Vijayawada-Visakhapatnam,Sleeper,Tirupati,2024-04-01,40,31,79.76,318.47,939.56,29126.32,62.36,April,Monday,09:35,9,1,0,0,0,Clear,Railway Station Stop,16,15,31,18,9,2,18,9,38,95.0,36,90.0,HIGH,HIGH,45.0,9
AP0038,Hyderabad-Visakhapatnam,Express,Nellore,2024-11-09,59,54,93.02,574.23,279.99,15119.29,119.99,November,Saturday,14:00,14,0,1,0,0,Cloudy,College Road Stop,19,5,54,10,3,2,10,3,55,93.22,56,94.92,HIGH,HIGH,16.95,5
AP0039,Kakinada-Vijayawada,Semi-Sleeper,Hyderabad,2024-04-17,55,29,53.3,295.87,178.55,5177.96,57.77,April,Wednesday,11:55,11,0,0,0,1,Clear,City Center Stop,29,20,29,12,10,8,12,10,31,56.36,34,61.82,LOW,MODERATE,21.82,26
AP0040,Vijayawada-Tirupati,Volvo AC,Kurnool,2024-05-23,57,26,46.97,273.45,809.11,21036.97,56.52,May,Thursday,17:25,17,1,0,0,0,Clear,Main Road Stop,15,15,26,21,8,5,21,8,29,50.88,28,49.12,LOW,LOW,36.84,31
AP0041,Kadapa-Hyderabad,Express,Tirupati,2024-02-27,59,26,45.14,272.82,269.21,6999.42,46.8,February,Tuesday,13:15,13,0,0,0,0,Rainy,College Road Stop,19,20,26,15,15,5,15,15,36,61.02,38,64.41,MODERATE,MODERATE,25.42,33
AP0042,Kakinada-Vijayawada,Ordinary,Nellore,2024-09-28,55,15,27.76,223.91,275.42,4131.32,42.78,September,Saturday,20:50,20,0,1,0,0,Clear,Central Bus Station,28,15,15,9,7,2,9,7,20,36.36,32,58.18,LOW,LOW,16.36,40
AP0043,Kadapa-Hyderabad,Sleeper,Kurnool,2024-07-22,40,31,78.43,394.38,486.96,15095.66,77.03,July,Monday,17:40,17,1,0,0,0,Rainy,Railway Station Stop,13,10,31,21,9,4,21,9,36,90.0,40,100.0,HIGH,HIGH,52.5,9
AP0044,Kakinada-Vijayawada,Express,Guntur,2024-09-02,59,34,57.9,308.0,270.51,9197.2,66.79,September,Monday,12:40,12,0,0,0,0,Clear,Market Stop,26,10,34,25,16,4,25,16,46,77.97,49,83.05,MODERATE,HIGH,42.37,25
AP0045,Vijayawada-Tirupati,Volvo AC,Vijayawada,2024-12-01,49,36,75.12,447.26,800.36,28813.06,77.98,December,Sunday,20:15,20,0,1,0,0,Clear,City Center Stop,17,10,36,25,9,2,25,9,43,87.76,47,95.92,HIGH,HIGH,51.02,13
AP0046,Kurnool-Hyderabad,Express,Hyderabad,2024-06-27,59,52,88.89,246.56,434.41,22589.15,52.87,June,Thursday,19:55,19,1,0,0,0,Clear,College Road Stop,27,15,52,14,8,5,14,8,55,93.22,52,88.14,HIGH,HIGH,23.73,7
AP0047,Anantapur-Bangalore,Sleeper,Tirupati,2024-01-12,40,23,57.83,283.1,779.08,17918.81,74.39,January,Friday,13:25,13,0,0,0,0,Clear,City Center Stop,16,15,23,7,5,2,7,5,26,65.0,33,82.5,MODERATE,HIGH,17.5,17
AP0048,Eluru-Hyderabad,Semi-Sleeper,Vijayawada,2024-03-30,63,43,68.55,329.19,258.82,11129.43,80.18,March,Saturday,12:30,12,0,1,0,0,Hot,City Center Stop,20,20,43,6,6,3,6,6,46,73.02,51,80.95,MODERATE,HIGH,9.52,20
AP0049,Ongole-Hyderabad,Express,Visakhapatnam,2024-08-04,55,38,69.67,402.94,337.78,12835.5,92.57,August,Sunday,17:45,17,1,1,0,0,Clear,Market Stop,12,5,38,26,5,3,26,5,40,72.73,43,78.18,MODERATE,MODERATE,47.27,17
AP0050,Vijayawada-Tirupati,Sleeper,Hyderabad,2024-04-05,44,38,87.79,347.91,300.98,11437.35,75.73,April,Friday,10:35,10,0,0,0,0,Rainy,College Road Stop,20,10,38,12,9,3,12,9,44,100.0,31,70.45,HIGH,MODERATE,27.27,6
AP0051,Nellore-Chennai,Semi-Sleeper,Guntur,2024-09-29,63,23,37.78,309.21,311.16,7156.64,65.66,September,Sunday,11:10,11,0,1,0,0,Rainy,Central Bus Station,12,30,23,15,7,4,15,7,26,41.27,25,39.68,LOW,LOW,23.81,40
AP0052,Hyderabad-Vijayawada,Semi-Sleeper,Tirupati,2024-08-10,63,56,89.24,280.88,208.14,11656.12,63.83,August,Saturday,05:15,5,0,1,0,0,Cloudy,Railway Station Stop,20,30,56,24,7,3,24,7,60,95.24,58,92.06,HIGH,HIGH,38.1,7
AP0053,Vijayawada-Visakhapatnam,Super Luxury,Vijayawada,2024-02-22,53,53,100.0,462.35,477.27,25295.15,74.4,February,Thursday,19:20,19,1,0,0,0,Clear,Central Bus Station,25,30,53,20,4,5,20,4,52,98.11,53,100.0,HIGH,HIGH,37.74,0
AP0054,Kurnool-Hyderabad,Ordinary,Nellore,2024-11-26,63,38,61.54,382.45,249.02,9462.77,65.49,November,Tuesday,17:55,17,1,0,0,0,Clear,College Road Stop,15,10,38,24,12,3,24,12,47,74.6,47,74.6,MODERATE,MODERATE,38.1,25
AP0055,Hyderabad-Visakhapatnam,Volvo AC,Hyderabad,2024-06-16,49,46,95.37,604.83,922.77,42447.34,111.04,June,Sunday,18:40,18,1,1,0,0,Clear,City Center Stop,15,5,46,23,7,5,23,7,48,97.96,42,85.71,HIGH,HIGH,46.94,3
AP0056,Kakinada-Vijayawada,Ordinary,Vijayawada,2024-11-22,55,33,61.58,465.44,123.47,4074.43,113.02,November,Friday,19:20,19,1,0,0,0,Rainy,College Road Stop,12,5,33,18,4,2,18,4,35,63.64,43,78.18,MODERATE,MODERATE,32.73,22
AP0057,Rajahmundry-Hyderabad,Sleeper,Tirupati,2024-03-31,44,26,60.68,381.09,938.77,24408.04,67.09,March,Sunday,13:40,13,0,1,0,1,Clear,City Center Stop,23,5,26,23,12,5,23,12,33,75.0,25,56.82,MODERATE,LOW,52.27,18
AP0058,Kakinada-Vijayawada,Express,Visakhapatnam,2024-05-27,55,21,39.95,494.37,398.1,8360.07,166.56,May,Monday,15:40,15,0,0,0,0,Hot,Main Road Stop,19,30,21,7,6,5,7,6,22,40.0,25,45.45,LOW,LOW,12.73,34
AP0059,Chittoor-Bangalore,Sleeper,Nellore,2024-11-07,36,27,75.42,296.03,928.8,25077.73,88.0,November,Thursday,10:20,10,0,0,0,0,Cloudy,City Center Stop,17,30,27,20,9,2,20,9,34,94.44,34,94.44,HIGH,HIGH,55.56,9
AP0060,Hyderabad-Vijayawada,Semi-Sleeper,Guntur,2024-05-26,63,56,89.75,272.48,255.57,14312.04,57.63,May,Sunday,09:20,9,1,1,0,1,Clear,Railway Station Stop,3,30,56,21,9,2,21,9,63,100.0,60,95.24,HIGH,HIGH,33.33,7
AP0061,Vijayawada-Visakhapatnam,Ordinary,Vijayawada,2024-09-15,63,30,48.88,565.32,212.25,6367.49,145.47,September,Sunday,17:50,17,1,1,0,0,Cloudy,College Road Stop,6,20,30,17,9,4,17,9,35,55.56,34,53.97,LOW,LOW,26.98,33
AP0062,Kurnool-Hyderabad,Ordinary,Visakhapatnam,2024-03-30,55,49,89.64,266.03,241.13,11815.15,66.17,March,Saturday,14:30,14,0,1,0,0,Clear,College Road Stop,3,10,49,5,1,1,5,1,49,89.09,55,100.0,HIGH,HIGH,9.09,6
AP0063,Nellore-Chennai,Express,Tirupati,2024-05-24,55,34,63.01,317.66,324.09,11018.95,100.15,May,Friday,15:05,15,0,0,0,0,Hot,Railway Station Stop,26,15,34,6,6,3,6,6,37,67.27,38,69.09,MODERATE,MODERATE,10.91,21
AP0064,Rajahmundry-Hyderabad,Ordinary,Guntur,2024-07-15,55,49,89.56,337.72,295.71,14489.68,67.29,July,Monday,19:40,19,1,0,0,0,Clear,Main Road Stop,26,30,49,17,8,2,17,8,55,100.0,55,100.0,HIGH,HIGH,30.91,6
AP0065,Eluru-Hyderabad,Ordinary,Vijayawada,2024-08-26,55,42,77.84,339.2,151.46,6361.38,59.28,August,Monday,16:35,16,0,0,0,0,Hot,Railway Station Stop,4,30,42,0,0,4,0,0,38,69.09,37,67.27,MODERATE,MODERATE,0.0,13
AP0066,Hyderabad-Vijayawada,Super Luxury,Guntur,2024-04-07,53,51,96.54,279.13,507.63,25889.24,59.1,April,Sunday,15:30,15,0,1,0,0,Rainy,Railway Station Stop,4,15,51,13,5,3,13,5,53,100.0,50,94.34,HIGH,HIGH,24.53,2
AP0067,Rajahmundry-Hyderabad,Super Luxury,Nellore,2024-05-12,49,36,74.17,384.25,583.71,21013.41,63.73,May,Sunday,15:40,15,0,1,0,1,Rainy,City Center Stop,24,30,36,16,3,8,16,3,31,63.27,37,75.51,MODERATE,MODERATE,32.65,13
AP0068,Guntur-Hyderabad,Super Luxury,Guntur,2024-03-18,49,41,84.02,304.99,839.42,34416.28,61.02,March,Monday,12:50,12,0,0,1,0,Clear,Market Stop,17,10,41,21,9,6,21,9,44,89.8,45,91.84,HIGH,HIGH,42.86,8
AP0069,Rajahmundry-Hyderabad,Semi-Sleeper,Hyderabad,2024-02-03,59,48,82.72,383.59,259.62,12461.94,78.36,February,Saturday,06:15,6,0,1,0,0,Rainy,Railway Station Stop,11,15,48,17,4,3,17,4,49,83.05,53,89.83,HIGH,HIGH,28.81,11
AP0070,Chittoor-Bangalore,Express,Vijayawada,2024-08-23,63,39,62.31,443.71,555.12,21649.49,109.71,August,Friday,13:25,13,0,0,0,0,Clear,Railway Station Stop,20,30,39,8,7,7,8,7,39,61.9,42,66.67,MODERATE,MODERATE,12.7,24
AP0071,Vijayawada-Tirupati,Semi-Sleeper,Kurnool,2024-04-12,63,54,86.84,498.9,283.1,15287.24,95.9,April,Friday,11:10,11,0,0,0,1,Rainy,Central Bus Station,9,10,54,16,8,6,16,8,56,88.89,57,90.48,HIGH,HIGH,25.4,9
AP0072,Guntur-Hyderabad,Volvo AC,Vijayawada,2024-11-03,53,25,48.62,263.14,1011.68,25292.12,57.29,November,Sunday,13:35,13,0,1,0,0,Clear,Central Bus Station,8,20,25,11,11,4,11,11,32,60.38,34,64.15,MODERATE,MODERATE,20.75,28
AP0073,Rajahmundry-Hyderabad,Semi-Sleeper,Hyderabad,2024-10-11,63,59,95.02,540.59,211.06,12452.71,115.46,October,Friday,20:20,20,0,0,0,0,Clear,Central Bus Station,13,15,59,21,6,6,21,6,59,93.65,56,88.89,HIGH,HIGH,33.33,4
AP0074,Vijayawada-Visakhapatnam,Express,Hyderabad,2024-07-23,55,32,58.89,349.38,229.66,7349.18,72.45,July,Tuesday,11:20,11,0,0,0,0,Clear,Railway Station Stop,28,10,32,7,7,5,7,7,34,61.82,34,61.82,MODERATE,MODERATE,12.73,23
AP0075,Ongole-Hyderabad,Super Luxury,Visakhapatnam,2024-01-08,45,33,73.87,584.2,581.56,19191.59,161.45,January,Monday,07:40,7,1,0,0,0,Clear,Market Stop,24,10,33,16,11,9,16,11,35,77.78,39,86.67,MODERATE,HIGH,35.56,12
AP0076,Vijayawada-Visakhapatnam,Volvo AC,Hyderabad,2024-02-20,49,38,79.1,357.6,787.46,29923.64,74.78,February,Tuesday,12:20,12,0,0,0,0,Clear,City Center Stop,8,20,38,5,5,7,5,5,36,73.47,41,83.67,MODERATE,HIGH,10.2,11
AP0077,Hyderabad-Tirupati,Sleeper,Guntur,2024-02-03,40,22,55.48,514.15,469.55,10330.05,118.28,February,Saturday,12:25,12,0,1,0,0,Rainy,College Road Stop,18,15,22,5,5,6,5,5,21,52.5,22,55.0,LOW,LOW,12.5,18
AP0078,Hyderabad-Vijayawada,Semi-Sleeper,Vijayawada,2024-02-25,55,41,75.63,304.46,241.84,9915.61,70.12,February,Sunday,17:25,17,1,1,0,0,Clear,Central Bus Station,27,10,41,22,4,4,22,4,41,74.55,42,76.36,MODERATE,MODERATE,40.0,14
AP0079,Ongole-Hyderabad,Super Luxury,Nellore,2024-01-28,53,40,75.53,322.49,626.72,25068.77,121.31,January,Sunday,15:15,15,0,1,0,0,Cloudy,Central Bus Station,29,20,40,13,9,5,13,9,44,83.02,53,100.0,HIGH,HIGH,24.53,13
AP0080,Kurnool-Hyderabad,Semi-Sleeper,Vijayawada,2024-09-30,63,37,60.18,397.18,318.11,11770.15,79.11,September,Monday,19:05,19,1,0,0,0,Clear,Market Stop,24,5,37,28,6,3,28,6,40,63.49,40,63.49,MODERATE,MODERATE,44.44,26
AP0081,Kakinada-Vijayawada,Semi-Sleeper,Visakhapatnam,2024-09-29,63,34,55.47,331.31,180.3,6130.21,74.26,September,Sunday,17:45,17,1,1,0,1,Rainy,City Center Stop,6,5,34,33,12,7,33,12,39,61.9,42,66.67,MODERATE,MODERATE,52.38,29
AP0082,Kurnool-Hyderabad,Semi-Sleeper,Vijayawada,2024-03-07,55,42,78.1,518.71,125.16,5256.7,99.65,March,Thursday,13:05,13,0,0,0,0,Rainy,Central Bus Station,9,30,42,28,6,3,28,6,45,81.82,46,83.64,HIGH,HIGH,50.91,13
AP0083,Rajahmundry-Hyderabad,Sleeper,Vijayawada,2024-08-23,40,24,62.08,558.45,713.93,17134.23,99.5,August,Friday,19:15,19,1,0,0,1,Clear,Main Road Stop,9,20,24,25,5,3,25,5,26,65.0,31,77.5,MODERATE,MODERATE,62.5,16
AP0084,Hyderabad-Tirupati,Express,Hyderabad,2024-08-16,59,41,70.66,549.72,471.15,19316.96,172.35,August,Friday,10:40,10,0,0,0,0,Cloudy,Central Bus Station,7,15,41,10,9,5,10,9,45,76.27,49,83.05,MODERATE,HIGH,16.95,18
AP0085,Rajahmundry-Hyderabad,Ordinary,Guntur,2024-03-15,63,42,67.69,367.4,197.95,8313.84,70.3,March,Friday,06:05,6,0,0,0,1,Hot,Market Stop,7,5,42,9,6,1,9,6,47,74.6,52,82.54,MODERATE,HIGH,14.29,21
AP0086,Vijayawada-Visakhapatnam,Semi-Sleeper,Kurnool,2024-07-21,63,31,49.35,406.63,192.08,5954.48,78.72,July,Sunday,08:35,8,1,1,0,0,Rainy,City Center Stop,11,15,31,26,8,4,26,8,35,55.56,39,61.9,LOW,MODERATE,41.27,32
AP0087,Nellore-Chennai,Express,Visakhapatnam,2024-08-12,59,41,69.89,273.67,356.92,14633.75,89.55,August,Monday,18:40,18,1,0,0,0,Clear,College Road Stop,18,15,41,21,11,2,21,11,50,84.75,59,100.0,HIGH,HIGH,35.59,18
AP0088,Vijayawada-Visakhapatnam,Ordinary,Tirupati,2024-12-21,59,24,41.91,236.09,270.78,6498.67,50.08,December,Saturday,13:35,13,0,1,0,0,Clear,Market Stop,14,15,24,16,8,5,16,8,27,45.76,31,52.54,LOW,LOW,27.12,35
AP0089,Kadapa-Hyderabad,Super Luxury,Visakhapatnam,2024-01-13,49,33,68.89,549.7,577.72,19064.67,90.3,January,Saturday,10:15,10,0,1,0,0,Rainy,Central Bus Station,14,5,33,7,7,5,7,7,35,71.43,33,67.35,MODERATE,MODERATE,14.29,16
AP0090,Nellore-Chennai,Express,Tirupati,2024-02-07,55,20,37.41,342.83,483.57,9671.38,93.14,February,Wednesday,14:00,14,0,0,0,0,Clear,Market Stop,9,15,20,14,9,2,14,9,27,49.09,32,58.18,LOW,LOW,25.45,35
AP0091,Kurnool-Hyderabad,Super Luxury,Kurnool,2024-03-16,45,43,97.58,366.97,516.04,22189.66,80.27,March,Saturday,10:50,10,0,1,0,0,Rainy,Railway Station Stop,7,15,43,15,3,3,15,3,43,95.56,44,97.78,HIGH,HIGH,33.33,2
AP0092,Hyderabad-Tirupati,Super Luxury,Hyderabad,2024-09-26,45,44,98.7,558.44,673.21,29621.09,133.9,September,Thursday,17:15,17,1,0,1,0,Clear,Main Road Stop,30,10,44,25,4,3,25,4,45,100.0,40,88.89,HIGH,HIGH,55.56,1
AP0093,Chittoor-Bangalore,Semi-Sleeper,Visakhapatnam,2024-03-29,63,32,51.58,424.24,281.56,9009.8,90.36,March,Friday,13:45,13,0,0,0,0,Rainy,College Road Stop,19,5,32,10,8,5,10,8,35,55.56,26,41.27,LOW,LOW,15.87,31
AP0094,Kadapa-Hyderabad,Express,Hyderabad,2024-12-18,59,59,100.0,375.02,349.92,20645.36,72.9,December,Wednesday,13:10,13,0,0,0,0,Clear,City Center Stop,9,30,59,19,5,5,19,5,59,100.0,49,83.05,HIGH,HIGH,32.2,0
AP0095,Kurnool-Hyderabad,Ordinary,Hyderabad,2024-02-08,59,29,50.8,439.24,153.16,4441.64,95.98,February,Thursday,12:05,12,0,0,0,0,Clear,Main Road Stop,25,20,29,24,10,5,24,10,34,57.63,42,71.19,LOW,MODERATE,40.68,30
AP0096,Hyderabad-Tirupati,Semi-Sleeper,Kurnool,2024-06-05,59,36,61.79,558.46,347.18,12498.4,134.0,June,Wednesday,16:45,16,0,0,0,0,Hot,Main Road Stop,26,20,36,5,5,6,5,5,35,59.32,35,59.32,LOW,LOW,8.47,23
